"id","make","model","bike_subtype","type","year","license_class","description","sale_price","original_price_rub","discount_percent","sold_count","recommend_percent","rating","image_url","gallery","features","power_kw","motor_peak_kw","power_hp","torque_nm","top_speed_kmh","range_km","battery","voltage_v","weight_kg","seat_height_mm","brake_type","suspension_type","frame_type","drive","color","charge_time_h","engine_cc","fuel_type","fuel_capacity_l","transmission","cooling","buy_colors_json","buy_options_json","rent_link","webapp_link","vk_url"
"falcon-gt-2026","79BIKE","Falcon GT","Electric Enduro","Electric","2026","М (49 сс), подходят права В или А1","Мощный электрический эндуро-байк 79BIKE Falcon GT 2025: пиковая мощность 17 кВт, батарея Samsung 50S 72V 40Ah, запас хода до 120 км. Усиленная легкосплавная рама, подвеска Fastace, три режима мощности (Sport / Drive / Eco). Относится к классу М (49 сс) — подойдут автомобильные права, без регистрации и страховки.","390000","","","42","97","4.9","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2025/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_1.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_2.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_3.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_4.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_5.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_6.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_7.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_8.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-gt-2026/image_9.jpg","NFC старт; FOC контроллер, 3 режима мощности (Sport / Drive / Eco); FASTACE подвеска — перевернутая вилка + задний моноамортизатор; Усиленные гидравлические дисковые тормоза 220 мм (2,8 мм); Рекуперативное торможение; Усиленная легкосплавная рама, разработка 2025 года; Бесшумная езда; Класс М (49 сс) — права категории В, без регистрации","17","17","","610","100","120","72V 40Ah","72","69","820","Гидравлические дисковые 220 мм","FASTACE — перевернутая вилка + задний моноамортизатор","Усиленная легкосплавная, разработка 2025","Chain","Черный","3.5–4","","","","","","[{""id"": ""black"", ""hex"": ""#111111"", ""label"": ""Черный""}, {""id"": ""white"", ""hex"": ""#f8fafc"", ""label"": ""Белый""}]","[{""id"": ""standard"", ""label"": ""Стандарт"", ""subtitle"": ""Базовая комплектация"", ""priceDelta"": 0}, {""id"": ""pro-battery"", ""label"": ""Pro Battery"", ""subtitle"": ""Увеличенный запас хода + зарядка 8A"", ""priceDelta"": 35000}, {""id"": ""factory-plus"", ""label"": ""Factory Plus"", ""subtitle"": ""Защита + усиленные компоненты для эндуро"", ""priceDelta"": 65000}]","/rent/falcon-gt-2025","https://t.me/oneBikePlsBot/app?startapp=buy_falcon-gt-2026",""
"falcon-lite-2026","79BIKE","Falcon Lite","Electric Enduro","Electric","2026","М (49 сс), подходят права В или А1","Компактный электробайк 79BIKE Falcon Lite 2026: пиковая мощность 8 кВт, батарея 72V 30Ah (NMC, ячейки M50LT), запас хода до 80 км, скорость до 85 км/ч. Кроссовая подвеска с ходом 200 мм спереди и 85 мм сзади, три режима мощности (Sport / Drive / Eco), мобильное приложение с remote unlock, GPS-трекингом и anti-theft. Класс М (49 сс) — права категории В, без регистрации и страховки. Идеален для новичков, леса и трейловой езды. Официальный представитель 79Bike — гарантия, запчасти, тест-драйв.","280000","330000","15","0","","","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-lite-2026/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-lite-2026/image_1.jpg","3 режима мощности (Sport / Drive / Eco); Кроссовая подвеска: перевернутая вилка 200 мм + задний моноамортизатор 85 мм; Литий-ионная батарея NMC 72V 30Ah (ячейки M50LT); Мобильное приложение: remote unlock, GPS-трекинг, anti-theft; Класс М (49 сс) — права категории В, без регистрации; Компактный и маневренный — 63 кг, для новичков и трейловой езды","8","8","","340","85","80","72V 30Ah (NMC, M50LT)","72","63","830","Гидравлические дисковые","Перевернутая вилка (200 мм) + задний моноамортизатор (85 мм)","Алюминиевая","Chain","Чёрный","3-4","","","","","","[{""id"": ""black"", ""hex"": ""#111111"", ""label"": ""Чёрный""}]","","/rent/falcon-lite-2026","https://t.me/oneBikePlsBot/app?startapp=buy_falcon-lite-2026",""
"falcon-lynx-purple","79BIKE","Falcon Lynx Purple","Электроэндуро","Electric","2025","М (права не требуются)","79BIKE Falcon Lynx Purple — электроэндуро премиум-класса. Mid-drive мотор 10 кВт (пик 12 кВт), батарея 72V 40Ah LG, запас хода 120 км. Рама 6061 T4/T6, подвеска FastAce 200 мм.","360000","","","","","4.9","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-lynx-purple/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-lynx-purple/image_1.jpg","Mid-drive 10 кВт (пик 12 кВт); 410 Нм; 90 км/ч; 120 км запас; 4ч зарядка; FastAce 200 мм; IP67","10","12","","410","90","120","72V 40Ah","72","66","855","Гидравлические дисковые","","Алюминиевый сплав 6061","Цепь 428","Фиолетовый","4","","","","","","","","/rent/falcon-lynx-purple","https://t.me/oneBikePlsBot/app?startapp=buy_falcon-lynx-purple",""
"falcon-pro-2026","79BIKE","Falcon Pro","Electric Enduro","Electric","2026","М (49 сс), подходят права В или А1","Легендарный электробайк 79BIKE Falcon Pro 2025: пиковая мощность 10 кВт, номинальная 3,9 кВт. Лёгкий — всего 55 кг! Запас хода до 120 км, скорость до 100 км/ч. Создан для леса, трасс, дачи и экстрима. Класс М (49 сс), права категории В, без регистрации и страховки. Официальный представитель 79Bike — гарантия, запчасти, тест-драйв.","310000","325000","5","18","94","4.8","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_1.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_2.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_3.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_4.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_5.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_6.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/falcon-pro/image_7.jpg","NFC-ключ и бесшумный запуск; FOC контроллер, 3 режима мощности; Усиленная кроссовая подвеска; Гидравлические дисковые тормоза; Алюминиевая рама; Класс М (49 сс) — права В или А1, без регистрации; Всего 55 кг — легко грузить и маневрировать","10","10","","440","100","120","72V 35Ah","72","55","820","Гидравлические дисковые","Усиленная кроссовая","Алюминиевая","Chain","Белый","3.5","","","","","","[{""id"": ""gold"", ""hex"": ""#d4a843"", ""label"": ""Золотой""}, {""id"": ""purple"", ""hex"": ""#7c3aed"", ""label"": ""Фиолетовый""}, {""id"": ""red"", ""hex"": ""#dc2626"", ""label"": ""Красный""}]","[{""id"": ""standard"", ""label"": ""Стандарт"", ""subtitle"": ""Базовая комплектация Pro"", ""priceDelta"": 0}, {""id"": ""pro-battery"", ""label"": ""Pro Battery"", ""subtitle"": ""Батарея повышенной ёмкости 72V 40Ah + быстрая зарядка"", ""priceDelta"": 30000}, {""id"": ""factory-plus"", ""label"": ""Factory Plus"", ""subtitle"": ""Защита + усиленные компоненты для эндуро"", ""priceDelta"": 55000}]","/rent/falcon-pro-2025","https://t.me/oneBikePlsBot/app?startapp=buy_falcon-pro-2026",""
"bmw-f800r","BMW","F800R","Naked Roadster","ICE","2015","А (полноценный мотоцикл, требуется категория А)","BMW F800R — динамичный нейкед-роадстер с рядным двухцилиндровым двигателем 798 куб. см (90 л.с., 86 Нм). Жидкостное охлаждение, 6-ступенчатая КПП, Brembo тормоза с ABS. Полноценный мотоцикл категории А — для опытных райдеров. Идеален для города и загородных поездок.","600000","","","0","85","4.7","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_1.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_2.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_3.jpg|https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/bmw-f800r/image_4.jpg","798cc параллельный твин; 90 л.с.; Охлаждение жидкостное; 6-ступенчатая коробка передач; Brembo тормоза (2x320мм перед; 265мм зад); Перевёрнутая вилка upside-down; ABS (отключаемый); Светодиодная оптика; Категория А — полноценный мотоцикл; Регулируемая подвеска","","","90","86","200","","","","204","800","Дисковые Brembo","Перевёрнутая вилка, моноамортизатор (регулируемые)","Алюминиевая","Chain","Белый/Чёрный","","798","АИ-95","15","6-ступенчатая","Жидкостное","","","/rent/bmw-f800r","https://t.me/oneBikePlsBot/app?startapp=buy_bmw-f800r",""
"ducati-panigale-s-electro-black-chain","Ducati","Panigale S Electro Black","Электроспортбайк (реплика)","Electric","2025","М (права В или М1, без регистрации)","Электроспортбайк Ducati Panigale S Electro Black — классическая китайская реплика Panigale в чёрном. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода до 150 км. Права В или М1, без регистрации.","600000","","","","","4.6","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-black/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-black/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1, без регистрации; Светодиодная оптика","5","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Чёрный","6–8","","","","","","","","/rent/ducati-panigale-s-electro-black-chain","https://t.me/oneBikePlsBot/app?startapp=buy_ducati-panigale-s-electro-black-chain",""
"ducati-panigale-s-electro-black-aero","Ducati","Panigale S Electro Black Aero","Электроспортбайк (реплика)","Electric","2025","М (права В или М1, без регистрации)","Электроспортбайк Ducati Panigale S Electro Black Aero — китайская реплика Panigale в матовом чёрном с аэрографией. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода 150 км. Права В или М1, без регистрации.","600000","","","","","4.8","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-black-aero/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-black-aero/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1, без регистрации; Светодиодная оптика","5","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Чёрный матовый","6–8","","","","","","","","/rent/ducati-panigale-s-electro-black-aero","https://t.me/oneBikePlsBot/app?startapp=buy_ducati-panigale-s-electro-black-aero",""
"ducati-panigale-s-electro-black","Ducati","Panigale S Electro Black Z","Электроспортбайк (реплика)","Electric","2025","М (права В или М1, без регистрации)","Электроспортбайк Ducati Panigale S Electro Black — классическая китайская реплика Panigale в чёрном. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода до 150 км. Права В или М1, без регистрации.","600000","","","","","4.6","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-black/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-black/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1, без регистрации; Светодиодная оптика","5","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Чёрный","6–8","","","","","","","","/rent/ducati-panigale-s-electro-black","https://t.me/oneBikePlsBot/app?startapp=buy_ducati-panigale-s-electro-black",""
"ducati-panigale-s-electro-gold","Ducati","Panigale S Electro Gold","Электроспортбайк (реплика)","Electric","2025","М (права В или М1, без регистрации)","Электроспортбайк Ducati Panigale S Electro Gold — стильная китайская реплика Panigale в золотом цвете. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода 150 км. Права В или М1, без регистрации.","600000","","","","","4.7","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-gold/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/ducati-panigale-s-electro-gold/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1; без регистрации; Светодиодная оптика","5","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Золотой","6–8","","","","","","","","/rent/ducati-panigale-s-electro-gold","https://t.me/oneBikePlsBot/app?startapp=buy_ducati-panigale-s-electro-gold",""
"hmd-m02","HMD","M02 (GT-EM07)","Электроэндуро","Electric","2025","М (права не требуются)","HMD M02 (GT-EM07) — современный электрический эндуро для леса, грунта и активного отдыха. Лёгкий (71 кг), манёвренный, бесшумный. Колёса 17/14, запас хода до 60 км.","140000","","","","","4.5","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/hmd-m02/image_1.jpg","https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/hmd-m02/image_1.jpg","Мгновенная тяга; Бесшумная работа; Без бензина и масла; Лёгкий — 71 кг; Колёса 17/14; Класс М","3","4.5","","120","75","60","48V 25Ah","48","71","780","Гидравлические дисковые","","Стальная","Цепь","Чёрный","4–5","","","","","","","","/rent/hmd-m02","https://t.me/oneBikePlsBot/app?startapp=buy_hmd-m02",""
