Пластик,44,DMNSGPL01001,Переднее крыло,,"PP, белый",12.01492537,18.48450057
,45,DMNSGPL01042,Переднее крыло,,"PP, чёрный",12.01492537,18.48450057
,46,DMSGPL030010,Корпус замка зажигания,,"Карбон с 3D-текстурой, PVD золото, 105*86*34",166.5,256.1538462
,47,DMSGPL010053,Корпус замка зажигания,,"ABS с гальваническим покрытием (золотое шампанское), 105*86*34",16.64925373,25.61423651
,48,DMSGPL010059,Кожух фары,,"PC/ABS, белый",10.47014925,16.10792193
,49,DMNSGPL01043,Кожух фары,,"PC/ABS, чёрный",10.47014925,16.10792193
,50,DMNSGPL01004,Крышка рамы (правая),,"PC/ABS, белый",18.19402985,27.99081515
,51,DMNSGPL01044,Крышка рамы (левая),,"PC/ABS, чёрный",18.19402985,27.99081515
,52,DMNSGPL01045,Крышка рамы (правая),,"PC/ABS, белый",18.19402985,27.99081515
,53,DMNSGPL01005,Крышка рамы (левая),,"PC/ABS, чёрный",18.19402985,27.99081515
,54,DMNSGPL01006,Задняя крышка,,"PP, белый",11.5,17.69230769
,55,DMNSGPL01046,Задняя крышка,,"PP, чёрный",11.5,17.69230769
,56,DMNSGPL01007,Крышка контроллера,,"PC/ABS, чёрный",4.462686567,6.865671642
,57,DMNSGPL01008,Держатель номерного знака,,"PC/ABS, чёрный",1.544776119,2.376578645
,58,DMNSGPL01009,Нижняя крышка,,"PP, чёрный",9.097014925,13.99540758
,59,DMNSGPL01010,Кронштейн нижней крышки,,"PP, чёрный",2.059701493,3.168771527
,60,DMSGPL010054,Накладка подсветки (4 шт.),,"PC/ABS, белый",29.00746269,44.62686567
,61,DMSGPL010055,Накладка подсветки (4 шт.),,"PC/ABS, чёрный",29.00746269,44.62686567
,62,DMSGPL010056,Крышка мотора,,PC/ABS,3.947761194,6.07347876
,63,DMNSGPL01023,Крепление заднего брызговика,,PC/ABS,2.231343284,3.432835821
,64,DMNSGPL01024,Наружная крышка замка седла,,PC/ABS,2.231343284,3.432835821
,65,DMNSGPL01025,Внутренняя крышка замка седла,,PC/ABS,2.231343284,3.432835821
,66,DMNSGPL01026,Щиток заднего крыла мотора,,PP,3.776119403,5.809414466
,67,DMNSGPL01027,Лоток цепи,,"TPU, чёрный",5.149253731,7.921928817
,68,DMNSGPL01028,Крышка цепи,,PP,6.52238806,10.03444317
,69,DMNSGPL01029,Направляющая цепи,,PA66,4.97761194,7.657864524
,70,DMNSGPL01030,Хомут тормозного шланга задней вилки,,PC/ABS,3.089552239,4.75315729
,71,DMSGPL010057,Передние накладки седла (комплект),,PC/ABS,2.917910448,4.489092997
,72,DMNSGPL01051,Изоляционная крышка контроллера,,PC/ABS,2.574626866,3.960964409
