Колёса,21,DMNSGSM01003,Задняя вилка,,"Кованая и сварная деталь из алюминия 6061",256.4328358,394.5120551
,22,DMWH010001,Переднее колесо в сборе,,"1.6*19inch алюминий + внедорожная резина CM713; 80/100-19 49M TT NHS CST",180.738806,278.0597015
,23,DMNSGWH02001,Обод передний,,"1.6*19inch алюминий",148.2985075,228.1515499
,24,DMWH040003,Покрышка передняя,,"Внедорожная резина CM713; 80/100-19 49M TT NHS CST",32.6119403,50.17221584
,25,DMWH040001,Камера передняя,,2.75/3.00-19 TR4,5.835820896,8.978185993
,26,DMNSGWH05001,Ободная лента передняя,,"19inch*W30mm, чёрная",1.029850746,1.584385763
,27,DMWH010002,Заднее колесо в сборе,,"2.15*18inch алюминий + внедорожная резина CM734; 100/90-18 56M TT NHS CST",203.2238806,312.652124
,28,DMNSGWH02002,Обод задний,,"2.15*18inch алюминий",159.2835821,245.0516648
,29,DMWH040004,Покрышка задняя,,"Внедорожная резина CM734; 100/90-18 56M TT NHS CST",43.94029851,67.60045924
,30,DMWH040002,Камера задняя,,3.00/3.25-18,6.52238806,10.03444317
,31,DMNSGWH05002,Ободная лента задняя,,"18inch*W30mm, чёрная",1.029850746,1.584385763
,32,DMNSGEC01002,Торцевая заглушка,,"Правая и левая (комплект)",5.664179104,8.714121699
,33,MOTARD-SET,Мотарды (комплект колёс),,"Мотард-вариант колёс, 17 дюймов, цена по запросу",0,
