"id","make","model","bike_subtype","type","year","license_class","description","daily_price","price_per_hour","price_per_3h","price_per_6h","price_per_12h","rent_weekday","rent_weekend","rent_2_4d","rent_5_10d","rent_11_30d","deposit_rub","image_url","gallery","features","power_kw","motor_peak_kw","motor_nominal_kw","power_hp","torque_nm","top_speed_kmh","range_km","battery","voltage_v","weight_kg","seat_height_mm","brake_type","suspension_type","frame_type","drive","color","charge_time_h","engine_cc","fuel_type","fuel_capacity_l","transmission","cooling","rent_link","webapp_link","vk_url"
"falcon-gt-2026","79BIKE","Falcon GT","Electric Enduro","Electric","2026","Не требуются (электро-эндуро, не для дорог общего пользования)","Мощный электрический эндуро-байк 79BIKE Falcon GT 2025: пиковая мощность 17 кВт, батарея Samsung 50S 72V 40Ah, запас хода до 120 км. Усиленная легкосплавная рама, подвеска Fastace, три режима мощности (Sport / Drive / Eco). Относится к классу М (49 сс) — подойдут автомобильные права, без регистрации и страховки.","12000","1200","8400","9600","10800","12000","14000","10000","8000","7000","15000","https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2025/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2026/image_1.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2026/image_2.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2026/image_3.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2026/image_4.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2026/image_5.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2026/image_6.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2026/image_7.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2026/image_8.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-gt-2026/image_9.jpg","NFC старт; FOC контроллер, 3 режима мощности (Sport / Drive / Eco); FASTACE подвеска — перевернутая вилка + задний моноамортизатор; Усиленные гидравлические дисковые тормоза 220 мм (2,8 мм); Рекуперативное торможение; Усиленная легкосплавная рама, разработка 2025 года; Бесшумная езда; Класс М (49 сс) — права категории В, без регистрации","17","17","3.9","","610","100","120","72V 40Ah","72","69","820","Гидравлические дисковые 220 мм","FASTACE — перевернутая вилка + задний моноамортизатор","Усиленная легкосплавная, разработка 2025","Chain","Черный","3.5–4","","","","","","/rent/falcon-gt-2025","https://t.me/oneBikePlsBot/app?startapp=rent_falcon-gt-2026",""
"falcon-pro-2026","79BIKE","Falcon Pro","Electric Enduro","Electric","2026","Не требуются (электро-эндуро, не для дорог общего пользования)","Легендарный электробайк 79BIKE Falcon Pro 2025: пиковая мощность 10 кВт, номинальная 3,9 кВт. Лёгкий — всего 55 кг! Запас хода до 120 км, скорость до 100 км/ч. Создан для леса, трасс, дачи и экстрима. Класс М (49 сс), права категории В, без регистрации и страховки. Официальный представитель 79Bike — гарантия, запчасти, тест-драйв.","10000","1000","7000","8000","9000","10000","12000","8500","7000","6000","15000","https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-pro/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-pro/image_1.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-pro/image_2.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-pro/image_3.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-pro/image_4.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-pro/image_5.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-pro/image_6.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/falcon-pro/image_7.jpg","NFC-ключ и бесшумный запуск; FOC контроллер, 3 режима мощности; Усиленная кроссовая подвеска; Гидравлические дисковые тормоза; Алюминиевая рама; Класс М (49 сс) — права В или А1, без регистрации; Всего 55 кг — легко грузить и маневрировать","10","10","3.9","","440","100","120","72V 35Ah","72","55","820","Гидравлические дисковые","Усиленная кроссовая","Алюминиевая","Chain","Белый","3.5","","","","","","/rent/falcon-pro-2025","https://t.me/oneBikePlsBot/app?startapp=rent_falcon-pro-2026",""
"aprilia-shiver","Aprilia","Shiver 750","Нейкед, бензиновый","ICE","2020","A (бензиновый мотоцикл — требуется категория А)","Aprilia Shiver 750 — итальянский нейкед с 750-кубовым V-твином, 95 л.с. и крутящим моментом 81 Нм. Ride-by-Wire с тремя режимами, TFT-дисплей APRILIA MIA, трекшн-контроль. Сухой вес 199 кг, высота по седлу 810 мм. Категория A.","12000","1200","5000","7000","9000","12000","15000","11000","9000","8000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/aprilia-shiver/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/aprilia-shiver/image_1.jpg","Ride-by-Wire с тремя режимами (Sport/Touring/Rain); TFT-дисплей APRILIA MIA; Трекшн-контроль; Светодиодная оптика; Регулируемая перевёрнутая вилка 41 мм","70","","","95","81","215","300","","","199","810","Дисковые гидравлические (передние 2×320 мм, задний 240 мм), ABS","Перевёрнутая вилка 41 мм, задний моноамортизатор","Стальная трубчатая с алюминиевыми боковинами","Цепь, 6-ступенчатая","","","750","АИ-95","15","6-ступенчатая","Жидкостное","","https://t.me/oneBikePlsBot/app?startapp=rent_aprilia-shiver",""
"bmw-f800r","BMW","F800R","Naked Roadster","ICE","2015","A (бензиновый мотоцикл — требуется категория А)","BMW F800R — динамичный нейкед-роадстер с рядным двухцилиндровым двигателем 798 куб. см (90 л.с., 86 Нм). Жидкостное охлаждение, 6-ступенчатая КПП, Brembo тормоза с ABS. Полноценный мотоцикл категории А — для опытных райдеров. Идеален для города и загородных поездок.","10000","1200","7000","8000","9000","10000","12000","9000","9000","7000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/bmw-f800r/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/bmw-f800r/image_1.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/bmw-f800r/image_2.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/bmw-f800r/image_3.jpg|https://rental.vip-bike.ru/supabase-mirror/carpix/bmw-f800r/image_4.jpg","798cc параллельный твин; 90 л.с.; Охлаждение жидкостное; 6-ступенчатая коробка передач; Brembo тормоза (2x320мм перед; 265мм зад); Перевёрнутая вилка upside-down; ABS (отключаемый); Светодиодная оптика; Категория А — полноценный мотоцикл; Регулируемая подвеска","","","","90","86","200","","","","204","800","Дисковые Brembo","Перевёрнутая вилка, моноамортизатор (регулируемые)","Алюминиевая","Chain","Белый/Чёрный","","798","АИ-95","15","6-ступенчатая","Жидкостное","/rent/bmw-f800r","https://t.me/oneBikePlsBot/app?startapp=rent_bmw-f800r",""
"bmw-s1000rr-electro-silver","BMW","S1000RR Electro Silver","Электроспортбайк (реплика)","Electric","2025","B или M (электро, для дорог общего пользования)","Электроспортбайк BMW S1000RR Electro — китайская реплика S1000RR в серебристом цвете с акцентами M. Мотор-колесо 3 кВт, батарея 72V 120Ah, запас хода до 150 км. Права В или М1, без регистрации.","10000","1000","7000","8000","9000","10000","11500","8500","8000","7000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/bmw-s1000rr-electro-silver/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/bmw-s1000rr-electro-silver/image_1.jpg","Мотор-колесо 3 кВт на мономаятнике; Визуальная копия BMW S1000RR; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1; без регистрации; Светодиодная оптика","3","","","","","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Серебристый","6–8","","","","","","","https://t.me/oneBikePlsBot/app?startapp=rent_bmw-s1000rr-electro-silver",""
"ducati-1199-panigale-2012","Ducati","1199 Panigale","Супербайк (спортбайк)","Gas","2012","А","Флагманский Ducati 1199 Panigale 2012 года: Superquadro L-twin 1198 см³, 195 л.с. и 132 Н·м при 164 кг сухой массы. Алюминиевая монокок-рама, моноблоки Brembo M50 2×330 мм, контроль тяги DTC, quickshifter DQS, электронная ручка газа RbW. Самый мощный серийный Ducati своего времени — топ парка для опытных райдеров с правами категории А.","18000","7200","9000","13000","16200","18000","20000","14400","11700","10800","50000","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-1199-panigale-2012/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-1199-panigale-2012/image_1.jpg","DTC контроль тяги (8 уровней); DQS quickshifter; EBC контроль торможения двигателем; Электронная ручка газа RbW; Brembo M50 моноблок, 2×330 мм; Marzocchi 50 мм USD; Алюминиевая монокок-рама; 195 л.с. / 132 Н·м, 164 кг сухой массы; Права категории А","143","","","195","132","287","","","","188","825","Brembo M50 моноблок, 2×330 мм, 4-поршневые радиальные","Marzocchi 50 мм USD (перевёрнутая) + полностью регулируемый моноамортизатор","Алюминиевая монокок (monocoque)","","Красный (Racing Red)","","","","","","","/rent/ducati-1199-panigale-2012","https://t.me/oneBikePlsBot/app?startapp=rent_ducati-1199-panigale-2012",""
"ducati-panigale-s-electro-black-chain","Ducati","Panigale S Electro Black","Электроспортбайк (реплика)","Electric","2025","B или M (электро, для дорог общего пользования)","Электроспортбайк Ducati Panigale S Electro Black — классическая китайская реплика Panigale в чёрном. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода до 150 км. Права В или М1, без регистрации.","10000","1000","7000","8000","9000","10000","11500","8500","8000","7000","","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-black/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-black/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1, без регистрации; Светодиодная оптика","5","","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Чёрный","6–8","","","","","","/rent/ducati-panigale-s-electro-black-chain","https://t.me/oneBikePlsBot/app?startapp=rent_ducati-panigale-s-electro-black-chain",""
"ducati-panigale-s-electro-black-aero","Ducati","Panigale S Electro Black Aero","Электроспортбайк (реплика)","Electric","2025","B или M (электро, для дорог общего пользования)","Электроспортбайк Ducati Panigale S Electro Black Aero — китайская реплика Panigale в матовом чёрном с аэрографией. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода 150 км. Права В или М1, без регистрации.","10000","1000","7000","8000","9000","10000","11500","8500","8000","7000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-black-aero/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-black-aero/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1, без регистрации; Светодиодная оптика","5","","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Чёрный матовый","6–8","","","","","","/rent/ducati-panigale-s-electro-black-aero","https://t.me/oneBikePlsBot/app?startapp=rent_ducati-panigale-s-electro-black-aero",""
"ducati-panigale-s-electro-black","Ducati","Panigale S Electro Black Z","Электроспортбайк (реплика)","Electric","2025","B или M (электро, для дорог общего пользования)","Электроспортбайк Ducati Panigale S Electro Black — классическая китайская реплика Panigale в чёрном. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода до 150 км. Права В или М1, без регистрации.","10000","1000","7000","8000","9000","10000","11500","8500","8000","7000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-black/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-black/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1, без регистрации; Светодиодная оптика","5","","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Чёрный","6–8","","","","","","/rent/ducati-panigale-s-electro-black","https://t.me/oneBikePlsBot/app?startapp=rent_ducati-panigale-s-electro-black",""
"ducati-panigale-s-electro-gold","Ducati","Panigale S Electro Gold","Электроспортбайк (реплика)","Electric","2025","B или M (электро, для дорог общего пользования)","Электроспортбайк Ducati Panigale S Electro Gold — стильная китайская реплика Panigale в золотом цвете. Мотор-колесо 5 кВт, батарея 72V 120Ah, запас хода 150 км. Права В или М1, без регистрации.","10000","1000","7000","8000","9000","10000","11500","8500","8000","7000","20000","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-gold/image_1.jpg","https://rental.vip-bike.ru/supabase-mirror/carpix/ducati-panigale-s-electro-gold/image_1.jpg","Мотор-колесо 5 кВт на мономаятнике; Визуальная копия Ducati Panigale S; 3 режима мощности; Гидравлические дисковые тормоза; Перевернутая вилка; Задний моноамортизатор; Класс М — права В или М1; без регистрации; Светодиодная оптика","5","","","","280","90","150","72V 120Ah (Li-Ion)","72","150","800","Гидравлические дисковые","","Стальная (китайская реплика)","Hub motor (мотор-колесо)","Золотой","6–8","","","","","","/rent/ducati-panigale-s-electro-gold","https://t.me/oneBikePlsBot/app?startapp=rent_ducati-panigale-s-electro-gold",""
