"rental_id","vehicle_id","bike_make","bike_model","user_id","status","payment_status","start_date","end_date","duration_days","total_cost","deposit_amount","deposit_method","deposit_collected_at","deposit_returned","delivery_address","is_active_today","is_upcoming","created_at","crew_id"
"801a2e9d-0975-4793-ac6a-b0c5f53ebd0e","bmw-f800r","BMW","F800R","356282674","completed","fully_paid","2026-09-20 10:00","2026-09-21 10:00","1.0","10000","20000","cash","2026-09-20 09:45","true","","true","","2026-09-20 09:45","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
"1f29df90-f96c-48b3-9f0b-b1337f26d3cf","ducati-panigale-s-electro-black","Ducati","Panigale S Electro Black Z","674476755","completed","fully_paid","2026-09-20 15:00","2026-09-21 09:00","0.8","8000","20000","cash","","false","","true","","2026-09-20 14:00","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
"8d06a3ca-7527-48b2-b384-2d30bc32659e","ducati-panigale-s-electro-black-aero","Ducati","Panigale S Electro Black Aero","994565062","active","pending","2026-09-20 15:00","2026-09-21 09:00","0.8","8000","20000","cash","","false","","true","","2026-09-20 14:03","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
"d49446f2-fe1f-4fb3-a78a-17778d521762","ducati-panigale-s-electro-black-aero","Ducati","Panigale S Electro Black Aero","994565062","completed","fully_paid","2026-09-21 12:30","2026-09-21 14:30","0.1","4000","20000","cash","","false","","true","","2026-09-21 12:18","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
"af589d59-b5c5-4987-8452-20f6718ce628","leopard-asaka","Leopard","Asaka","674476755","completed","fully_paid","2026-09-21 12:30","2026-09-21 14:30","0.1","3250","20000","cash","","false","","true","","2026-09-21 12:20","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
"9f9de3d8-00b3-4640-80f0-1c99e841a07e","sequence-zero","Sequence","Zero","356282674","active","fully_paid","2026-09-21 14:00","2026-09-21 17:00","0.1","9000","20000","cash","2026-09-21 13:43","false","","true","","2026-09-21 13:43","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
"071f683d-1584-4196-b3cf-10e7272c9963","the-meta-helmet","","","356282674","active","fully_paid","2026-09-21 14:00","2026-09-21 17:00","0.1","0","0","","","false","","true","","2026-09-21 13:43","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
"a70dcd96-58ba-42e0-a4f6-e7ee128ca30b","equip-jacket-air-system-2xl","","","356282674","active","fully_paid","2026-09-21 14:00","2026-09-21 17:00","0.1","0","0","","","false","","true","","2026-09-21 13:43","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
"0d2cad9d-3ca7-4d5c-846c-b6ca3bf08009","ducati-panigale-s-electro-black","Ducati","Panigale S Electro Black Z","8935491576","active","pending","2026-09-21 15:00","2026-09-21 19:00","0.2","3300","20000","cash","","false","","true","","2026-09-21 14:39","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
"c23afd5c-e3b9-490a-971f-9f23062a3f33","yamaha-r7","Yamaha","R7","724076714","pending_confirmation","pending","2026-09-23 12:00","2026-09-24 12:00","1.0","11000","20000","cash","","false","","","true","2026-09-18 12:56","2d5fde70-1dd3-4f0d-8d72-66ccf6908746"
