Дата,ЗП Аренда,Партнеру,Цена,Экип,Залог,Марка,,Пробег до,Пробег после,Время,Комментарий,дата,ЗП Продажа,Наименование,Цена,Комментарий
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
01.08,,,,,,,,,,,,,,,,
01.08,1000,0,5000,0,10000,U2,Брали Шлем,,,,,01.08,1000,каспер,390000,
02.08,50,,,500,,,Сетка Ульяне,,,,,,,,,
02.08,100,3000,6000,,,П Ямаха,Антон,,,,,,,,,
02.08,100,1500,3000,,,П Сузуки,Антон+шлем,,,,,,,,,
02.08,100,1500,3000,,,П Кава,Антон,,,,,,,,,
02.08,100,2500,5000,,,П Сузуки,Илья 1/5 часа+2шлема,,,,,,,,,
03.08,950,,5000,500,10 000Рус нал,Ниблер,1д,"939,1",,12до12,"Ребята с юмором, сделал общую скидку за долгое ожидание, по причине акума",,,,,
03.08,3200,0,30000,2000,32 000 Илья карта,Дукати Зубик,1д+1Д +1Д,3752,,,Доплата 10К на 1 д,,,,,
03.08,1500,0,5000,500,15000 Рус нал,Мотолэнд,1д,9391,,,Получил 5000,03.08,5000,HMD M02,125000,
03.08,1500,,7500,2500,20000,П Ямаха,3часа нал Рус,3500,,16.30 да 19.30,,,,,,
04.08,2500,,10 000,2000,20 000,П Дук Валера,1д Д карта Илья,,,21 до 21,2500 за доставку мота,,,,,
05.08,1500,,5000,1500,12700,П Априли,2часа нал Рус,47329,,18.30 до 20.30,Он дал только 20К Продал балаклаву за 800 уже вычел из залога,,,,,
06.08,,,10000,1000,20000,П Дук ?,БРОНЬ  Перенос на 8-9 Предоплата за двоих 2000 Рус Карта,,,на 18.00,УТОЧНЯЮ,06.08,1000,продажа шлема 6000 и болоклва 1000,,
06.08,,,12000,0,20000,Бмв,БРОНЬ Перенос на 8-9,,,,УТОЧНЯЮ,,,,,
06.08,700,,,0,5000,,Сиквенс + 2шлема,,,,Взять видео отзыв,,,,,
07.08,2000,,16500,,,Зубик Повреждения,ИРИНА,,,,,,,,,
08.08,1200,,6000,2000,15000 нал Рус,Ниблер,1д +2 шл крта Рус (1000р в зп),1530,,11.30 до 11.30,На сутки,06.08,Покупка шлема 1000 (нал Рус),,,
08.08,900,,7500,2000,20 000 Илья карта,П Дук Владислав,3 часа + 2 шлема Илья Карта,,,,,,,,,
08.08,2100,,10000,1000,20000,Дукати Зубик,1д + шлем (1000  дал нал) + ДОПЛАТА 11000 ЗА 1Д клиент сам красил,3394,,,,09.06,5000,Falcon Light,280 000,
10.08,,,,,,П Ямаха,БРОНЬ,,,,,10.06,1000,Falcon Pro,290 000,
10.08,1000,3000,6000,500,20000,П Кава,на 3 часа (все на карте у Ильи),7688,,,,,,,,
11.08,1000,,6000нал,1000,15000 нал,Ниблер,1д + 1шл перчатки в подарок (только1000карта Рус),1657,,19до19,,11.08,5000,U2,110 000,
11.08,1200,,12000,1000,20000,БМВ,1д+1шл перчатки в подарок (все на карте Илья),39082,,19.30до19.30,,,,,,
11.08,1600,,6000,1000,20000,Фалкон GT,1 час + шлем (все на карте Илья),571,,19.30до20.30,,,,,,
